table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Cumulative Estimates of Resident Population Change for Incorporated Places of 50,000 or More in 2020, Ranked by Percent Change: April 1, 2020 to July 1, 2022",,,,,
Rank,Geographic Area,Population Estimate,,"Change, 2020 to 2022",
147,"Knoxville city, Tennessee","190,728","195,889","5,161",2.7
148,"Huntersville town, North Carolina","61,376","63,035","1,659",2.7
149,"San Antonio city, Texas","1,434,367","1,472,909","38,542",2.7
150,"Charlotte city, North Carolina","874,607","897,720","23,113",2.6
151,"Bellingham city, Washington","91,483","93,896","2,413",2.6
152,"Lubbock city, Texas","257,157","263,930","6,773",2.6
153,"Schenectady city, New York","67,050","68,809","1,759",2.6
154,"Tulare city, California","68,910","70,693","1,783",2.6
155,"Murrieta city, California","110,953","113,783","2,830",2.6
156,"Avondale city, Arizona","89,345","91,617","2,272",2.5
157,"Marietta city, Georgia","61,052","62,602","1,550",2.5
158,"O'Fallon city, Missouri","91,347","93,663","2,316",2.5
159,"Pocatello city, Idaho","56,326","57,730","1,404",2.5
160,"Salt Lake City city, Utah","199,711","204,657","4,946",2.5
161,"Yuma city, Arizona","96,147","98,527","2,380",2.5
162,"Greenwood city, Indiana","63,832","65,406","1,574",2.5
163,"Jurupa Valley city, California","105,054","107,609","2,555",2.4
164,"Billings city, Montana","117,142","119,960","2,818",2.4
165,"Bethlehem city, Pennsylvania","75,795","77,617","1,822",2.4
166,"Lake Elsinore city, California","70,244","71,898","1,654",2.4
167,"Lee's Summit city, Missouri","101,122","103,465","2,343",2.3
168,"Jacksonville city, Florida","949,616","971,319","21,703",2.3
169,"Warner Robins city, Georgia","80,350","82,175","1,825",2.3
170,"Phoenix city, Arizona","1,608,190","1,644,409","36,219",2.3
171,"Charleston city, South Carolina","150,288","153,672","3,384",2.3
172,"Greenville city, South Carolina","70,720","72,310","1,590",2.2
173,"Las Cruces city, New Mexico","111,392","113,888","2,496",2.2
174,"Bradenton city, Florida","55,713","56,961","1,248",2.2
175,"Carmel city, Indiana","99,753","101,964","2,211",2.2
176,"Alpharetta city, Georgia","65,811","67,267","1,456",2.2
177,"Marysville city, Washington","70,714","72,275","1,561",2.2
178,"Ontario city, California","175,266","179,061","3,795",2.2
179,"Blaine city, Minnesota","70,221","71,739","1,518",2.2
180,"West Sacramento city, California","53,919","55,064","1,145",2.1
181,"Columbia city, South Carolina","136,803","139,698","2,895",2.1
182,"Lenexa city, Kansas","57,417","58,617","1,200",2.1
183,"Melbourne city, Florida","84,703","86,441","1,738",2.1
184,"Johnson City city, Tennessee","71,063","72,514","1,451",2.0
185,"Oklahoma City city, Oklahoma","681,084","694,800","13,716",2.0
186,"Brookhaven city, Georgia","56,795","57,934","1,139",2.0
187,"Loveland city, Colorado","76,365","77,884","1,519",2.0
188,"Perris city, California","78,705","80,263","1,558",2.0
189,"Fontana city, California","208,387","212,475","4,088",2.0
190,"Edmond city, Oklahoma","94,436","96,286","1,850",2.0
191,"Irvine city, California","307,665","313,685","6,020",2.0
192,"Cathedral City city, California","51,498","52,494",996,1.9
193,"Chino city, California","91,387","93,140","1,753",1.9
194,"Vancouver city, Washington","190,888","194,512","3,624",1.9
195,"Raleigh city, North Carolina","467,762","476,587","8,825",1.9
196,"Miramar city, Florida","134,706","137,228","2,522",1.9
197,"Aurora city, Colorado","386,324","393,537","7,213",1.9
198,"Shoreline city, Washington","58,601","59,690","1,089",1.9
199,"Columbia city, Missouri","126,233","128,555","2,322",1.8
200,"Greenville city, North Carolina","87,628","89,233","1,605",1.8
201,"Riverside city, California","315,014","320,764","5,750",1.8
202,"Eastvale city, California","69,752","71,024","1,272",1.8
203,"Victorville city, California","134,802","137,221","2,419",1.8
204,"Hendersonville city, Tennessee","61,792","62,896","1,104",1.8
205,"Las Vegas city, Nevada","644,866","656,274","11,408",1.8
206,"Abilene city, Texas","125,178","127,385","2,207",1.8
207,"Corvallis city, Oregon","59,909","60,956","1,047",1.7
